front,back,tags,interval_days,next_review,notes
"¿Qué es CAP theorem?","Trade-off entre Consistency, Availability, Partition tolerance · solo puedes elegir 2 de 3 cuando hay particiones de red","sistemas-distribuidos foundational","1","",
"¿Cuándo elegir AP sobre CP?","Cuando availability es crítica y puedes tolerar staleness temporal · ej. shopping cart, social feed","sistemas-distribuidos trade-offs","1","",
"¿Diferencia entre Strong y Eventual Consistency?","Strong: todos los nodos ven mismo estado siempre · Eventual: convergerán pero no instantáneamente","sistemas-distribuidos consistency","3","",
"Define Quorum en consensus","Mayoría de nodos requerida para decisión válida · típicamente N/2+1","sistemas-distribuidos consensus","1","",
"¿Qué es un Vector Clock?","Estructura que captura orden parcial de eventos en sistema distribuido · detecta causalidad","sistemas-distribuidos foundational","3","",
"¿Quién propuso CAP theorem y cuándo?","Eric Brewer en 2000 · keynote de PODC · formalizado por Gilbert & Lynch en 2002","sistemas-distribuidos historia","7","",
"¿Qué es Byzantine Fault?","Nodo que puede comportarse arbitrariamente (mentir) · no solo fallar · requiere protocolos especiales (PBFT)","sistemas-distribuidos avanzado","3","",
"¿Cuál es la diferencia entre Raft y Paxos?","Raft: diseñado para entendibilidad · roles claros (leader/follower/candidate) · Paxos: original · más complejo conceptualmente","sistemas-distribuidos consensus","7","",
"Define Idempotencia en APIs","Operación que puede ejecutarse múltiples veces con mismo efecto · crítica para retry-safety en sistemas distribuidos","sistemas-distribuidos api-design","1","",
"¿Cuándo usar Event Sourcing?","Cuando necesitas auditoría completa, replay, time-travel debugging · NO cuando solo necesitas estado actual","sistemas-distribuidos patterns","7","",
"¿Qué es PACELC?","Refinamiento de CAP · si Particiona (P) elige A o C; en Else (E) elige Latency o Consistency","sistemas-distribuidos avanzado","14","",
"¿Diferencia entre sharding y replicación?","Sharding: dividir datos en partes · Replicación: copiar datos en múltiples nodos · pueden combinarse","sistemas-distribuidos foundational","3","",
"¿Qué es Consistent Hashing?","Algoritmo de particionamiento que minimiza re-balancing al añadir/remover nodos · usado en DHTs y caches distribuidas","sistemas-distribuidos algoritmos","7","",
"¿Cuándo NO usar microservicios?","Cuando equipo es pequeño · cuando no hay independencia de despliegue real · cuando complejidad de orquestación supera beneficios","sistemas-distribuidos trade-offs","7","",
"¿Qué es Circuit Breaker pattern?","Patrón para prevenir cascada de fallas: detecta fallas, abre el circuito (rechaza requests), reintenta después de timeout","sistemas-distribuidos resilience","3","",
"Define Saga pattern","Patrón para transacciones distribuidas: secuencia de operaciones con compensaciones · alternativa a 2PC","sistemas-distribuidos patterns","7","",
"¿Por qué evitar 2PC en escala?","Bloqueante · single point of failure (coordinator) · no escala bien · alternativas: Saga, eventual consistency","sistemas-distribuidos trade-offs","7","",
"¿Qué es CRDT?","Conflict-Free Replicated Data Type · estructura de datos que converge sin coordinación · usado en collaborative editing","sistemas-distribuidos avanzado","14","",
"¿Diferencia entre at-least-once y exactly-once?","At-least-once: posible duplicados · Exactly-once: requiere idempotencia + dedup · más caro de garantizar","sistemas-distribuidos messaging","7","",
"¿Qué es Service Mesh?","Capa de infraestructura para comunicación service-to-service · maneja routing, observability, security · ej. Istio, Linkerd","sistemas-distribuidos infraestructura","7","",
